Supplier Name,Country Code,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
Ricoh,GB-MERC-R0000036,RDIF,44,Rostec,36,Dobrolet,31,Otkritie,31,Death Battalion,30
Falkirk Car Carriers,GB-JLR-F0000001,First Crimean Insurance,42,Battalion Gvardeysky,40,Somali Battalion,39,Cossack National Guard,38,Kalmius Battalion,38
Bradleys Smart International,GB-BMW-B0000751,Internet Research Agency,58,Russian National Commercial Bank,53,Smert Battalion,51,Industrial Savings Bank,51,Sparta Battalion,50
Nationwide Vehicle Contracts,GB-MERC-N0000042,Cossack National Guard,48,Luhansk Economic Union,40,Russian National Commercial Bank,40,Z Interautomatica,40,Donbas People s Militia,39
FJ Payne Son,GB-JLR-F0000013,O VO TPE,50,People s Union,46,VO TPE,44,Free Donbas,43,Free Donbass,42
A Hill T A Autoshine Alloy Wheel Refurbishment,GB-HO-A0001294,The Great Don Army,41,So called Donetsk People s Republic,40,Separate Artillery Brigade of the 1st Army Corps,40,State Unitary Enterprise of the Republic of Crimea UNIVERSAL AVIA,40,State Unitary Enterprise of the Crimean Republic Crimean Sea Ports,38
Maxi Lease Ltd T A Carnoisseur Leasing,GB-MERC-M0001335,558 Aircraft Repair Plant,38,Army of the Southeast,37,Army of the South East,37,Separate Artillery Brigade of the 1st Army Corps,37,Luhansk Economic Union,37
D Holt T A Dean Clean,GB-TOYLEX-D0000045,Death Battalion,44,Prizrak Battalion Ghost Brigade,42,Prizrak Battalion Ghost Battalion,41,Bank Otkritie Financial,41,ZELENODOLSK SHYARD,41
PPG Refinish Distribution,GB-BMW-B0000768,Battalion Gvardeysky,44,Donbas People s Militia,42,Donbass People s Militia,41,Death Battalion,40,Sparta Battalion,39
Carwow,GB-BMW-B0000774,NEW EASTERN OUTLK,35,Bank Rossiya,33,ROSNEFT AERO,33,Narodny Soyuz,32,Bulwark,31
Athena Leasing,GB-JLR-A0001778,Army of the Southeast,46,Tactical Missiles,45,Army of the South East,44,The Great Don Army,44,Luhansk Economic Union,44
Bruce Patterson T A Tipstrade,GB-BMW-B0000776,Battalion Gvardeysky,45,Prizrak Battalion Ghost Brigade,43,Resort Nizhnyaya Oreanda,42,Death Battalion,41,Prizrak Brigade,41
Dealer Auction,GB-TOYLEX-D0000114,Death Battalion,62,People s Union,57,Smert Battalion,55,Zarya Battalion,55,Somali Battalion,53
Auto Motive Vehicle Solutions Ltd T A AMVS,GB-HO-A0001330,Army of the South East,44,International Union of Public Associations Great Don Army,40,State Enterprise Sparkling Wine Plant Novy Svet,40,Stroygazmontazh Most SGM MOST,39,The Berkatit Tommot Yakutsk Railway Line s Construction Directorate,39
DG Private Hire,GB-TOYLEX-D0000127,Prizrak Brigade,47,The Great Don Army,42,Zaliv Shipyard,41,Mir Luganschine,40,Z Interavtomatika IA,40
A Sims Garden Services,GB-HO-A0001341,First Crimean Insurance,44,Battalion Gvardeysky,43,ORIENTAL REVIEW,43,Donetskaya Narodnaya Respublika,42,So called Luhansk Guard,40
Alan R Fryer,GB-HO-A0001362,Bank of Russia,46,Almaz Antey Defense,45,Concern Almaz Antey,45,Smert Battalion,44,Zarya Battalion,44
Air Products,GB-HO-A0001375,Fedosia Oil Products Supply,56,Oplot Battalion,44,VTB Bank Public,44,Army of the Southeast,42,Bank Rossiya,42
Harwoods Ltd T A Crawley Audi,GB-HO-C0001678,Army of the Southeast,40,So called Lugansk Guard,38,UralVagonZavod,37,558 Aircraft Repair Plant,37,Gas Industry Insurance Company SOGAZ,37
ATS Euromaster,GB-HO-A0001412,Rostec,50,Z Interavtomatika IA,47,ROSNEFT AERO,46,NEW EASTERN OUTLK,45,Army of the South East,44
Global Radio Services,GB-JLR-G0000083,Smert Battalion,50,ORIENTAL REVIEW,50,Free Donbas,44,Somali Battalion,43,Sparta Battalion,43
Birchfields Ltd T A Autosmart,GB-HO-A0001414,Separate Artillery Brigade of the 1st Army Corps,39,Z Interautomatica,39,Z Interavtomatika IA,37,558 Aircraft Repair Plant,37,Army of the Southeast,36
Gomez Gardening,GB-JLR-G0000086,Narodny Soyuz,50,Mir Luganschine,47,The Great Don Army,42,Almaz Antey Defense,41,People s Union,41
Adco Signs,GB-HO-A0001417,ROSNEFT AERO,45,Tactical Missiles,44,People s Union,42,Bank of Russia,42,Industrial Savings Bank,42
Grange Motors Brentwood Ltd T A Grange Brentwood,GB-JLR-G0000091,State Unitary Enterprise of the Republic of Crimea UNIVERSAL AVIA,37,Federativnoye Gosudarstvo Novorossiya,35,Movement Novorossiya of Ignor Strelkov,35,Separate Artillery Brigade of the 1st Army Corps,35,Movement Novorossiya of Igor Strelkov,35
Executive Tints,GB-TOYLEX-E0000052,Russian Direct Investment Fund,44,Free Donbas,38,Free Donbass,37,Peace To Luhansk Region,37,Internet Research Agency,36
Hormann UK,GB-JLR-H0000031,SOVCOMBANK,50,Sovkombank,50,Vneshekonombank,48,Sberbank,44,Promsvyazbank,43
Ace Carcare,GB-HO-A0001425,ROSNEFT AERO,43,Peace To Luhansk Region,41,Concern Almaz Antey,40,Internet Research Agency,40,Mir Luganschine,38
Hadrian Air Conditioning and Refrigeration,GB-JLR-H0000045,Industrialny Sberegatelny Bank,47,Black Sea Bank for Development and Reconstruction,46,Black Sea Bank Development and Reconstruction,44,Black Sea Bank of Development and Reconstruction,44,Prizrak Battalion Ghost Battalion,43
AIC Transport,GB-HO-A0001427,Lenpromtransproyekt,50,United Aircraft,50,Resort Nizhnyaya Oreanda,49,Sparta Battalion,48,VO Technopromexport,44
Linkfield Ltd T A Proveeda,GB-JLR-P0001089,Prizrak Battalion Ghost Brigade,42,Azovsky likerovodochny zavod,41,Internet Research Agency,40,Sparkling Wine Plant Novy Svet,39,Peace To Luhansk Region,37
M G Davies T A All Shropshire Mobility,GB-HO-A0001431,Donbas People s Militia,43,Donbass People s Militia,42,Separate Artillery Brigade of the 1st Army Corps,37,So called Luhansk Guard,36,So called Lugansk Guard,36
Kew Green Hotels Ltd T A Holiday Inn Leamington,GB-JLR-H0000067,State Enterprise Magarach of the National Institute of Wine,38,State Enterprise Sevastopol Commercial Seaport,37,Internet Research Agency,37,Institute Giprostroymost Saint Petersburg,36,Army of the South East,35
Angel Springs Ltd T A Waterlogic,GB-HO-A0001438,Sparkling Wine Plant Novy Svet,52,State enterprise Universal Avia,48,State Enterprise Sparkling Wine Plant Novy Svet,43,Sparta Battalion,42,Crimean Republican Enterprise Azov Distillery Plant,41
MDM Vehicle Deliveries,GB-JLR-M0001340,Feodosia Enterprise of oil,42,Donbas People s Militia,40,Donbass People s Militia,39,Almaz Antey Defense,39,Tactical Missiles,36
Kenneth Geoffrey Hubbard T A Hubbards,GB-MERC-H0000037,So called Luhansk Guard,40,So called Lugansk Guard,40,Army of the South East,37,Army of the Southeast,34,Cossack National Guard,34
Archive Document Data Storage,GB-HO-A0001442,Army of the Southeast,44,Russian Direct Investment Fund,44,Army of the South East,43,The Great Don Army,43,First Crimean Insurance,42
Gerald Anthony Cove T A Auto Accessories,GB-HO-A0001449,Almaz Antey Defense,41,Concern Almaz Antey,41,VAD Aktsionernoe Obshchestvo VAD,39,State Concern National Association of producers Massandra,39,State Enterprise Sparkling Wine Plant Novy Svet,39
Ian Allan Travel,GB-JLR-I0000050,ORIENTAL REVIEW,52,Concern Almaz Antey,46,Zarya Battalion,45,Almaz Antey,44,Sparta Battalion,44
Glass s Information Services,GB-TOYLEX-G0000072,Cossack National Guard,44,Russian National Commercial Bank,43,Industrial Savings Bank,43,Smert Battalion,42,Z Interavtomatika IA,42
Carsave,GB-BMW-C0000145,VEB RF,46,Russia Bank,44,Bank Rossiya,42,ROSNEFT AERO,42,First Crimean Insurance,40
Jet Vehicle Finance,GB-MERC-J0000010,First Crimean Insurance,48,Bank Otkritie Financial,48,Donetsk Republic,40,Tactical Missiles,39,Almaz Antey Defense,37
GL Hearn,GB-JLR-H0000692,Genbank,53,Zaliv Shipyard,45,Bulwark,40,IS Bank,40,558 ARP,40
Kone,GB-MERC-K0000019,Sovkombank,43,Free Donbas,40,VO TPE,40,Rostec,40,Free Donbass,38
Art Vision,GB-HO-A0001458,Sparta Battalion,54,VO TPE,50,Death Battalion,48,Smert Battalion,48,Zarya Battalion,48
Cruickshank Motors Ltd t a Mercedes Benz Of Northampton,GB-MERC-M0000101,Black Sea Bank Development and Reconstruction,40,Black Sea Bank for Development and Reconstruction,38,Crimean Republican Enterprise Azov Distillery Plant,36,Peace To Luhansk Region,36,State Enterprise Sevastopol Commercial Seaport,36
ABC Leasing,GB-HO-A0001466,Mir Luganschine,46,Tactical Missiles,43,Luhansk Economic Union,42,Peace To Luhansk Region,41,Industrial Savings Bank,41
Carson Office Environments,GB-BMW-C0000150,Luhansk Economic Union,46,Russian Direct Investment Fund,43,VAD Aktsionernoe Obshchestvo VAD,41,Federal State of Novorossiya,41,Aktsionernoe Obshchestvo Genbank,41
Nationwide Crash Repair Centres,GB-MERC-N0000005,558 Aircraft Repair Plant,54,Russian National Commercial Bank,48,State Enterprise Magarach of the National Institute of Wine,44,Internet Research Agency,44,State Unitary Enterprise of the Republic of Crimea National Institute of Wine Magarach,43
Addison Motors Ltd T A Tyneside Audi,GB-HO-A0001469,Prizrak Battalion Ghost Brigade,42,The Great Don Army,41,Prizrak Battalion Ghost Battalion,41,Bank Otkritie Financial,41,Mostotrest Mostotrest,39
Car Lease 4U,GB-BMW-C0000152,NEW EASTERN OUTLK,48,So called Luhansk Guard,46,So called Lugansk Guard,46,Army of the Southeast,42,Army of the South East,41
Ace Towbars,GB-HO-A0001492,Free Donbas,55,Free Donbass,52,Peace To Luhansk Region,47,Cossack National Guard,42,The Great Don Army,41
Keymite Ltd T A KMS,GB-JLR-K0000040,Army of the South East,44,Free Donbas,40,Free Donbass,39,The Great Don Army,38,Stroygazmontazh Most SGM MOST,38
Hodgson Newcastle Ltd T A Hodgson Toyota,GB-TOYLEX-H0000065,The Berkatit Tommot Yakutsk Railway Line s Construction Directorate,43,The Great Don Army,41,Army of the Southeast,39,Mostotrest Mostotrest,36,Donbas People s Militia,35
Premier Autocentres,GB-MERC-P0000083,Mostotrest P,52,Mostotrest,48,Smert Battalion,47,ORIENTAL REVIEW,47,Mostotrest Mostotrest,45
Allclean Office Windows,GB-HO-A0001522,Luhansk Economic Union,44,Almaz Antey Defense,43,Concern Almaz Antey,43,Peace To Luhansk Region,39,First Crimean Insurance,39
M Craggs Car Storage,GB-JLR-K0000045,Army of the South East,48,United Aircraft,46,The Great Don Army,42,So called Luhansk Guard,42,So called Lugansk Guard,42
New Car Deals,GB-MERC-N0000446,The Great Don Army,52,ORIENTAL REVIEW,50,Integral,48,ROSNEFT AERO,48,NEW EASTERN OUTLK,47.05882352941176
Agricultural And Mobile Airconditioning Ltd T A AMA Air Conditioning,GB-HO-A0001525,Research and Production Corporation UralVagonZavod,37,The Berkatit Tommot Yakutsk Railway Line s Construction Directorate,36,Federal State Budgetary Enterprise Production Agrarian Union Massandra of the Administration of the President of the Russian Federation,35,State Concern National Association of producers Massandra,35,Separate Artillery Brigade of the 1st Army Corps,34
Indespension,GB-TOYLEX-I0000040,People s Union,46,Vneshekonombank,44,Russian Direct Investment Fund,43,NEW EASTERN OUTLK,41,Peace To Luhansk Region,40
Brady Corporation Ltd T A Seton,GB-MERC-S0000036,Stroygazmontazh Corporation SGM Group,53,Research and Production Corporation UralVagonZavod,49,Prizrak Battalion Ghost Battalion,47,Separate Artillery Brigade of the 1st Army Corps,46,Vostok Battalion,43
Auto Cosmetics Leics,GB-HO-A0001559,Z Interautomatica,49,Tactical Missiles,49,Smert Battalion,46,ROSNEFT AERO,44,Luhansk Economic Union,43
Cumbrian Marketing,GB-BMW-C0000199,First Crimean Insurance,49,Peace To Luhansk Region,44,Industrial Savings Bank,44,CB IS Bank,43,SOVCOMBANK,43
Asset Leasing Finance Limited T A My Lease Group,GB-JLR-A0001868,Gas Industry Insurance Company SOGAZ,43,Separate Artillery Brigade of the 1st Army Corps,40,Black Sea Bank Development and Reconstruction,39,International Union of Public Associations Great Don Army,38,Sparkling Wine Plant Novy Svet,38
John Kleis Car Hi Fi Comms,GB-TOYLEX-J0000051,25 January Committee,39,Donbas People s Militia,37,Kalmius Battalion,37,Foreign Economic Association Technopromexport,37,First Crimean Insurance,37
Snap On UK Holdings Ltd T A Snap On Tools,GB-MERC-S0000082,Sparkling Wine Plant Novy Svet,39,Vostok Battalion,39,Prizrak Battalion Ghost Battalion,38,International Union of Public Associations Great Don Army,37,Foreign Economic Association Technopromexport,37
Lex Autolease,GB-JLR-L0000112,Almaz Antey Defense,44,Free Donbas,42,Almaz Antey,42,Army of the Southeast,41,Army of the South East,40
Trusted Interactions Group Ltd T A Cymphony,GB-TOYLEX-A0001819,International Union of Public Associations Great Don Army,46,Internet Research Agency,45,Army of the Southeast,44,The Great Don Army,43,Prizrak Battalion Ghost Battalion,42
Aitchison Raffety Commercial,GB-MERC-A0001815,Russian National Commercial Bank,53,State Enterprise Sevastopol Commercial Seaport,43,Smert Battalion,42,25 January Committee,42,State Concern National Association of producers Massandra,42
Keytracker,GB-TOYLEX-K0000038,ROSNEFT AERO,45,Peace To Luhansk Region,36,First Crimean Insurance,36,Concern Almaz Antey,34,Lenpromtransproyekt,34
Lunches Direct,GB-JLR-L0000121,United Aircraft,55,Russian Direct Investment Fund,50,Donetsk Republic,47,The Great Don Army,44,First Crimean Insurance,43
Stewarts MOT Repair Centre,GB-MERC-S0000115,Internet Research Agency,52,558 Aircraft Repair Plant,51,Mostotrest Mostotrest,47,Chernomorneftegaz,47,State Enterprise Sparkling Wine Plant Novy Svet,47
Car Colour Care,GB-BMW-C0000286,Concern Almaz Antey,47,NEW EASTERN OUTLK,44,Army of the South East,43,Army of the Southeast,39,Cossack National Guard,38
Blueroc Ltd T A Leasing4U,GB-JLR-L0000369,Smert Battalion,40,Oplot Battalion,40,Army of the Southeast,39,State Enterprise Sparkling Wine Plant Novy Svet,39,Army of the South East,38
DC Express,GB-MERC-S0000127,Free Donbas,38,Russia Bank,38,Donbas People s Militia,36,Free Donbass,36,Bank Rossiya,36
P John G Miller A Miller T A Tool Technique,GB-MERC-T0000067,Crimean Republican Enterprise Azov Distillery Plant,43,Separate Artillery Brigade of the 1st Army Corps,40,Foreign Economic Association Technopromexport,39,State Enterprise Magarach of the National Institute of Wine,33,Internet Research Agency,33
Total Car Solutions,GB-MERC-T0000072,Army of the Southeast,50,Cossack National Guard,49,People s Union,48,Oplot Battalion,47,Sparta Battalion,46
Aston Services Group,GB-BMW-C0000571,Mostotrest P,50,Smert Battalion,46,Stroygazmontazh Corporation SGM Group,46,Bank Rossiya,44,Army of the South East,43
Manheim Ltd T A Manheim Auctions Bruntingthorpe,GB-JLR-M0000229,Crimean Republican Enterprise Azov Distillery Plant,39,State Enterprise Magarach of the National Institute of Wine,38,Aktsionernoe Obshchestvo Genbank,38,The Berkatit Tommot Yakutsk Railway Line s Construction Directorate,37,Separate Artillery Brigade of the 1st Army Corps,36
Dapra York Ltd T A Alexanders York,GB-MERC-D0000907,Separate Artillery Brigade of the 1st Army Corps,39,Prizrak Battalion Ghost Battalion,39,State Enterprise Sevastopol Commercial Seaport,38,Prizrak Battalion Ghost Brigade,37,Battalion Gvardeysky,37
Astute Motoring,GB-TOYLEX-A0001664,Mostotrest Mostotrest,56,Federal State of Novorossiya,47,Institute Giprostroymost Saint Petersburg,43,Peace To Luhansk Region,42,Concern Almaz Antey,41
Copyform,GB-BMW-C0000710,O VO TPE,38,VO Technopromexport,37,Dobrolyot,35,O VO Technopromexport,34,Mostotrest,33
Local Car and Van Rental,GB-TOYLEX-L0000283,Russian National Commercial Bank,46,Research and Production Corporation UralVagonZavod,46,The Great Don Army,43,Almaz Antey Defense,42,Concern Almaz Antey,42
Manbat,GB-JLR-M0000281,Almaz Antey,47,Genbank,46,Somali Battalion,45,VTB Bank,43,Death Battalion,38
City Cars Ltd T A Courtesy Taxis,GB-BMW-C0000746,Army of the Southeast,45,Army of the South East,41,Gas Industry Insurance Company SOGAZ,41,The Great Don Army,40,Donetskaya Narodnaya Respublika,38
OSV,GB-MERC-O0000020,Rostec,44,Promsvyazbank,38,O VO TPE,36,USC,33.333333333333336,VTB,33
MW Vehicle Contracts,GB-JLR-M0000745,Donbas People s Militia,47,Donbass People s Militia,45,Free Donbas,45,Army of the Southeast,44,Donetsk Republic,44
Get Smart Solutions,GB-MERC-G0000050,Death Battalion,53,Smert Battalion,53,Sparta Battalion,51,People s Union,48,Oplot Battalion,47
Eastern Motor,GB-BMW-E0000458,NEW EASTERN OUTLK,67,Mostotrest Mostotrest,53,Sberbank of Russia,45,Federal State of Novorossiya,44,Peace To Luhansk Region,44
Gardner Mawdsley Print,GB-MERC-G0000051,Crimean Republican Enterprise Azov Distillery Plant,44,Prizrak Brigade,43,Peace To Luhansk Region,40,Bank Otkritie Financial,40,Concern Almaz Antey,39
Nash Management Consultancy,GB-JLR-N0000246,Black Sea Bank Development and Reconstruction,50,Black Sea Bank of Development and Reconstruction,48,Black Sea Bank for Development and Reconstruction,47,Donbas People s Militia,40,First Crimean Insurance,40
Main and Stones Ltd T A Car 4 Leasing,GB-BMW-C0000860,Sparkling Wine Plant Novy Svet,48,Army of the South East,41,State Enterprise Sparkling Wine Plant Novy Svet,40,Mostotrest Mostotrest,38,Research and Production Corporation UralVagonZavod,37
Mercedes Benz Cars,GB-TOYLEX-M0000246,First Crimean Insurance,44,Internet Research Agency,43,Smert Battalion,42,Battalion Gvardeysky,42,Free Donbas,41
Mobile Mini UK Ltd T A Mobile Mini,GB-TOYLEX-M0000255,Donbas People s Militia,35,Donbass People s Militia,34,Movement Novorossiya of Igor Strelkov,34,Movement Novorossiya of Ignor Strelkov,33,People s Union,33
Commercial Colours,GB-BMW-C0000907,Cossack National Guard,45,Russian National Commercial Bank,44,State Enterprise Sevastopol Commercial Seaport,41,Tactical Missiles,40,Federal State of Novorossiya,39
Car Electrical UK,GB-BMW-C0000925,Tactical Missiles,47,Cossack National Guard,46,ZELENODOLSK SHYARD,46,GEOPOLITICA,43,Luhansk Economic Union,41
Mobile Services Ellistown,GB-TOYLEX-M0000722,Mostotrest Mostotrest,43,Donbas People s Militia,42,Industrial Savings Bank,42,Donbass People s Militia,41,People s Union,41
Chandlers Garage Brighton,GB-BMW-C0000945,Sparta Battalion,44,Kalmius Battalion,43,Prizrak Brigade,40,Battalion Gvardeysky,40,Zarya Battalion,40
Claris Vehicle Solutions,GB-BMW-C0000961,Army of the Southeast,49,Army of the South East,48,Donbas People s Militia,47,People s Union,47,Donbass People s Militia,46
Personnel Hygiene Services Ltd T A PHS Group,GB-JLR-P0000037,Internet Research Agency,44,So called Donetsk People s Republic,41,ORIENTAL REVIEW,37,Donbas People s Militia,36,Donbass People s Militia,35
Nottingham City Council,GB-TOYLEX-N0000070,Bank Otkritie Financial,48,Russian National Commercial Bank,44,Cossack National Guard,40,Tactical Missiles,40,The Great Don Army,39
Emsat Communications Ltd T A Concept Zone,GB-BMW-C0000976,State Concern National Association of producers Massandra,45,Foreign Economic Association Technopromexport,44,International Union of Public Associations Great Don Army,43,Research and Production Corporation UralVagonZavod,42,First Crimean Insurance,41
Cooper Bros,GB-BMW-C0000978,Rostec,47,Dobrolet,42,O VO TPE,42,Dobrolyot,40,People s Union,40
Cargoes,GB-BMW-C0000989,Bank Rossiya,42,ROSNEFT AERO,42,Dobrolet,40,Narodny Soyuz,40,Army of the Southeast,36
Pro Align,GB-JLR-P0000126,Oplot Battalion,58,Sparta Battalion,56,Smert Battalion,50,Zarya Battalion,50,Somali Battalion,48
PC Hunt T A Peter Hunt Industrial Supplies,GB-JLR-P0000150,Industrial Savings Bank,52,Industrialny Sberegatelny Bank,50,Institute Giprostroymost Saint Petersburg,43,Fedosia Oil Products Supply,41,Gas Industry Insurance Company SOGAZ,41
Deltec International Courier,GB-MERC-D0000047,Cossack National Guard,52,Z Interavtomatika IA,50,Federal United Enterprise Crimea Railway,50,International Union of Public Associations Great Don Army,47,State Concern National Association of producers Massandra,47
The Southern Co Operative Ltd T A The Co Operative Florist,GB-JLR-T0001306,The Berkatit Tommot Yakutsk Railway Line s Construction Directorate,42,Army of the Southeast,41,State Unitary Enterprise of the City of Sevastopol Sevastopol Sea Port,41,Army of the South East,40,Black Sea Bank of Development and Reconstruction,40
Pendragon Vehicle Management,GB-TOYLEX-P0000105,Black Sea Bank Development and Reconstruction,44,Black Sea Bank for Development and Reconstruction,42,Black Sea Bank of Development and Reconstruction,42,Feodosia Enterprise of oil,41,Sparkling Wine Plant Novy Svet,41
Jason Ellis T A Wheel Wizard Manchester,GB-HO-W0000596,Prizrak Battalion Ghost Battalion,42,State Enterprise Magarach of the National Institute of Wine,41,Internet Research Agency,41,Prizrak Battalion Ghost Brigade,40,VAD Aktsionernoe Obshchestvo VAD,39
Fortoak Rolls,GB-MERC-F0000021,Bank Rossiya,48,Mostotrest,43,ORIENTAL REVIEW,43,Russia Bank,42,Donetsk Republic,41
Fleetprices co uk,GB-MERC-F0000038,Feodosia Enterprise of oil,51,O VO TPE,48,So called Donetsk People s Republic,42,State enterprise Universal Avia,42,Federal United Enterprise Crimea Railway,42
Banstead Athletic Football Club,GB-HO-B0000814,Concern Almaz Antey,40,Sberbank Public Sberbank,40,Cossack National Guard,38,Luhansk Economic Union,38,Z Interautomatica,38
SOH Group,GB-TOYLEX-S0001778,O VO TPE,47,Narodny Soyuz,45,People s Union,43,Sobol,43,Army of the Southeast,40
Giltbrook Dyers and Cleaners,GB-MERC-G0000019,Peace To Luhansk Region,47,Federal United Enterprise Crimea Railway,44,Black Sea Bank Development and Reconstruction,38,Separate Artillery Brigade of the 1st Army Corps,37,Feodosia Enterprise of oil,37
Halliwell Jones Wilmslow,GB-HO-B0000832,Kalmius Battalion,44,So called Donetsk People s Republic,41,Oplot Battalion,41,Federal United Enterprise Crimea Railway,38,Luganskiy Ekonomicheskiy Soyuz,37
Rhino Design Manchester,GB-JLR-R0000066,Russian Direct Investment Fund,45,NEW EASTERN OUTLK,45,Aktsionernoe Obshchestvo Genbank,44,Luhansk Economic Union,40,State Enterprise Magarach of the National Institute of Wine,39
EWW Derby Ltd T A InXpress,GB-JLR-E0000696,Federal State of Novorossiya,44,Army of the South East,42,Crimean Republican Enterprise Azov Distillery Plant,42,The Great Don Army,41,Federal United Enterprise Crimea Railway,39
SJ Wright T A Premier Automotive Systems,GB-TOYLEX-P0000143,Z Interautomatica,42,Z Interavtomatika IA,40,Interavtomatika,36,So called Donetsk People s Republic,35,So called Lugansk People s Republic,35
Rexel UK Ltd T A Newey Eyre,GB-JLR-R0000114,NEW EASTERN OUTLK,45,So called Donetsk People s Republic,42,So called Lugansk People s Republic,42,Almaz Antey Defense,39,Federal United Enterprise Crimea Railway,39
Rhodes Packaging,GB-JLR-R0000115,Death Battalion,45,Vostok Battalion,44,Bank Rossiya,43,Peace To Luhansk Region,41,Almaz Antey Defense,40
Kirby West,GB-MERC-K0000018,Mostotrest,40,Army of the Southeast,39,Army of the South East,38,Aktsionernoe Obshchestvo Genbank,38,Rostec,38
Radar Finance Leasing,GB-TOYLEX-R0000071,Almaz Antey Defense,45,Army of the Southeast,43,Army of the South East,42,VAD Aktsionernoe Obshchestvo VAD,42,Russian National Commercial Bank,42
Verex Assistance,GB-TOYLEX-R0000084,Smert Battalion,45,Russia Bank,44,Free Donbass,43,State enterprise Universal Avia,43,Industrialny Sberegatelny Bank,43
Yourparkingspace,GB-TOYLEX-Y0000070,Prizrak Brigade,45,Sparkling Wine Plant Novy Svet,43,Industrial Savings Bank,41,Lenpromtransproyekt,40,ORIENTAL REVIEW,39
Milton Keynes London Link,GB-MERC-M0000175,Azovsky likerovodochny zavod,45,Feodosia Enterprise of oil,43,Vneshekonombank,40,Donbas People s Militia,38,Luhansk Economic Union,38
Yamel Ltd T A Delmonte Garage,GB-BMW-D0000271,The Great Don Army,51,Zarya Battalion,41,Federal United Enterprise Crimea Railway,41,So called Donetsk People s Republic,38,Almaz Antey Defense,38
Ethos Asset Finance,GB-TOYLEX-E0000678,First Crimean Insurance,43,Bank Otkritie Financial,43,Foreign Economic Association Technopromexport,41,Donetsk Republic,40,Feodosia Enterprise of oil,40
Snap On UK Holdings,GB-JLR-S0000083,United Shipbuilding,42,Somali Battalion,40,Sparta Battalion,40,Vostok Battalion,40,Cossack National Guard,39
Chatsbrook Finance,GB-TOYLEX-C0001680,First Crimean Insurance,49,Bank Otkritie Financial,49,Sberbank of Russia,44,Luhansk Economic Union,40,Peace To Luhansk Region,39
Raynor Tool Services,GB-TOYLEX-R0000100,ORIENTAL REVIEW,51,Army of the Southeast,44,Army of the South East,43,Tactical Missiles,43,NEW EASTERN OUTLK,43
Dingmaster,GB-BMW-D0000354,Integral,56,Free Donbas,48,Free Donbass,45,NEW EASTERN OUTLK,44,The Great Don Army,43
Shire Leasing,GB-JLR-S0000148,Mir Luganschine,57,Sparkling Wine Plant Novy Svet,47,First Crimean Insurance,44,United Shipbuilding,44,Smert Battalion,43
Dings Dents,GB-BMW-D0000358,Donetsk Republic,44,Svobodny Donbass,44,IS Bank,44,First Crimean Insurance,41,Industrial Savings Bank,41
Sign Specialists,GB-JLR-S0000175,Somali Battalion,44,Sparta Battalion,44,Russian National Commercial Bank,42,Tactical Missiles,42,Bank Otkritie Financial,41
JSL Drive Ltd T A Driver Hire North Oldham,GB-JLR-J0000541,State enterprise Universal Avia,36,Federativnoye Gosudarstvo Novorossiya,35,Army of the South East,34,Federal State of Novorossiya,34,State Enterprise Sevastopol Commercial Seaport,34
Direct Windscreen Services,GB-BMW-D0000370,Russian Direct Investment Fund,46,First Crimean Insurance,45,Industrial Savings Bank,41,Free Donbass,37,Tactical Missiles,37
Graham Lilley T A Car Solutions,GB-MERC-C0001668,Army of the South East,45,Army of the Southeast,42,Separate Artillery Brigade of the 1st Army Corps,41,Crimean Republican Enterprise Azov Distillery Plant,39,Smert Battalion,39
Space And People,GB-JLR-S0000194,People s Union,53,Donbas People s Militia,51,So called Lugansk People s Republic,51,Peace To Luhansk Region,51,Donbass People s Militia,50
Dodsworths,GB-BMW-D0000391,Mostotrest,50,Mostotrest P,45,Dobrolet,44,Dobrolyot,42,Army of the Southeast,39
Drinklink Vending Services,GB-BMW-D0000431,ORIENTAL REVIEW,44,Azovsky likerovodochny zavod,41,State Enterprise Sparkling Wine Plant Novy Svet,41,Industrial Savings Bank,41,Sparkling Wine Plant Novy Svet,39
AE Barriff T A Sandhurst Grounds Maintenance,GB-JLR-S0000241,First Crimean Insurance,42,Gas Industry Insurance Company SOGAZ,40,State Enterprise Magarach of the National Institute of Wine,39,Black Sea Bank for Development and Reconstruction,39,Black Sea Bank of Development and Reconstruction,39
Pickerings Europe,GB-MERC-P0000039,People s Union,45,First Crimean Insurance,45,So called Lugansk People s Republic,38,Prizrak Brigade,38,State enterprise Universal Avia,38
Skyfleet,GB-JLR-S0000149,Free Donbas,42,Free Donbass,40,Dobrolet,38,Mostotrest,33,Peace To Luhansk Region,32
Planet Leasing,GB-MERC-P0000049,NEW EASTERN OUTLK,52,Almaz Antey,48,Oplot Battalion,48,Lenpromtransproyekt,48,First Crimean Insurance,43
Shredall East Midlands,GB-TOYLEX-S0000171,Industrialny Sberegatelny Bank,46,Industrial Savings Bank,44,558 Aircraft Repair Plant,43,Somali Battalion,42,Sparta Battalion,42
Des Winks Cars,GB-BMW-D0000570,First Crimean Insurance,43,Prizrak Brigade,41,Donetsk Republic,40,Cossack National Guard,39,NEW EASTERN OUTLK,39
Sign Language,GB-TOYLEX-S0000173,So called Luhansk Guard,44,So called Lugansk Guard,44,Peace To Luhansk Region,44,People s Union,44,Industrial Savings Bank,44
